,apr_folder,repair_time
0,simfix_2,0 days 00:21:26
1,simfix_2,0 days 04:44:14
2,tbar_2,0 days 04:32:15
3,simfix_2,0 days 03:35:19
4,tbar_2,0 days 04:07:15
5,simfix_2,0 days 00:10:24
6,tbar_2,0 days 04:10:26
7,simfix_2,0 days 05:00:32
8,tbar_2,0 days 05:24:06
9,simfix_2,0 days 04:16:59
10,tbar_2,0 days 04:09:52
11,simfix_2,0 days 04:40:50
12,tbar_2,0 days 04:30:43
13,simfix_2,0 days 05:03:09
14,tbar_2,0 days 05:54:05
15,simfix_2,0 days 04:06:39
16,tbar_2,0 days 04:17:25
17,simfix_2,0 days 04:03:35
18,tbar_2,0 days 04:16:02
19,simfix_2,0 days 00:00:39
20,tbar_2,0 days 00:00:11
21,simfix_2,0 days 05:48:14
22,tbar_2,0 days 03:47:18
23,simfix_2,0 days 03:30:08
24,tbar_2,0 days 05:10:58
25,simfix_2,0 days 00:20:17
26,tbar_2,0 days 00:33:23
27,simfix_2,0 days 03:24:53
28,tbar_2,0 days 05:20:14
29,simfix_2,0 days 03:55:16
30,tbar_2,0 days 00:39:20
31,simfix_2,0 days 04:13:29
32,tbar_2,0 days 04:06:57
33,simfix_2,0 days 04:08:33
34,tbar_2,0 days 04:24:15
35,simfix_2,0 days 04:07:18
36,tbar_2,0 days 04:21:06
37,simfix_2,0 days 01:28:20
38,tbar_2,0 days 05:41:54
39,simfix_2,0 days 01:26:13
40,tbar_2,0 days 00:35:52
41,simfix_2,0 days 00:21:58
42,tbar_2,0 days 02:20:19
43,simfix_2,0 days 04:41:01
44,tbar_2,0 days 03:42:39
45,simfix_2,0 days 05:52:15
46,tbar_2,0 days 03:12:03
47,simfix_2,0 days 03:15:08
48,tbar_2,0 days 00:08:28
49,simfix_2,0 days 03:31:50
50,tbar_2,0 days 05:12:45
51,simfix_2,0 days 03:39:48
52,tbar_2,0 days 04:00:38
53,simfix_2,0 days 04:28:23
54,tbar_2,0 days 04:49:54
55,simfix_2,0 days 03:57:24
56,tbar_2,0 days 00:59:29
57,simfix_2,0 days 04:20:03
58,tbar_2,0 days 04:48:06
59,simfix_2,0 days 02:30:24
60,tbar_2,0 days 02:09:22
61,simfix_2,0 days 04:12:16
62,tbar_2,0 days 04:29:39
63,simfix_2,0 days 00:36:26
64,tbar_2,0 days 02:05:36
65,simfix_2,0 days 00:09:49
66,tbar_2,0 days 02:07:57
67,simfix_2,0 days 00:00:12
68,tbar_2,0 days 00:00:13
69,simfix_2,0 days 00:34:40
70,tbar_2,0 days 00:32:08
71,simfix_2,0 days 00:09:24
72,tbar_2,0 days 00:16:08
73,simfix_2,0 days 01:01:06
74,tbar_2,0 days 05:32:44
75,simfix_2,0 days 03:56:13
76,tbar_2,0 days 04:40:00
77,simfix_2,0 days 00:00:16
78,tbar_2,0 days 00:00:11
79,simfix_2,0 days 05:17:02
80,tbar_2,0 days 05:56:59
81,simfix_2,0 days 04:50:36
82,tbar_2,0 days 05:40:54
83,simfix_2,0 days 05:55:07
84,tbar_2,0 days 05:43:19
85,simfix_2,0 days 04:35:23
86,tbar_2,0 days 05:56:39
87,simfix_2,0 days 00:03:05
88,tbar_2,0 days 00:02:51
89,simfix_2,0 days 00:09:58
90,tbar_2,0 days 02:26:07
91,simfix_2,0 days 04:08:20
92,tbar_2,0 days 00:41:12
93,simfix_2,0 days 04:41:57
