,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
0,nopol_2,nopol_2,bears,FasterXML-jackson-databind_176912167-190405643,7190.401000000001,17.659,7190.401000000001,0,0,0,0,0,NO,NO,,NO,-,NO
1,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_176912167-190405643,1599.1379999999997,17.659,1599.1379999999997,0,0,0,0,0,NO,NO,,NO,-,NO
2,nopol_2,nopol_2,bears,FasterXML-jackson-databind_190405643-195044059,5612.755999999998,22.741,5612.755999999998,0,0,0,0,0,NO,NO,,NO,-,NO
3,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_190405643-195044059,4207.31,22.741,2727.1230000000005,0.432,1480.1870000000001,1,1611,0,NO,NO,,NO,-,NO
4,nopol_2,nopol_2,bears,FasterXML-jackson-databind_190406891-190505536,74.71200000000002,32.252,74.71200000000002,0,0,0,0,0,YES,NO,,NO,-,NO
5,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_190406891-190505536,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,nopol_2,nopol_2,bears,FasterXML-jackson-databind_195066764-195069327,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,nopol_2,nopol_2,bears,FasterXML-jackson-databind_195430379-198387397,2566.4670000000024,29.062,2566.4670000000024,0,0,0,0,0,NO,NO,,NO,-,NO
8,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_195430379-198387397,7324.656999999996,29.062,7324.656999999996,0,0,0,0,0,NO,NO,,NO,-,NO
9,nopol_2,nopol_2,bears,FasterXML-jackson-databind_195646489-195752461,7188.623000000004,49.567,7188.623000000004,0,0,0,0,0,NO,NO,,NO,-,NO
10,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_195646489-195752461,2710.0330000000076,49.567,2710.0330000000076,0,0,0,0,0,NO,NO,,NO,-,NO
11,nopol_2,nopol_2,bears,FasterXML-jackson-databind_195752461-195777970,3308.852999999999,16.408,3308.852999999999,0,0,0,0,0,NO,NO,,NO,-,NO
12,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_195752461-195777970,2818.200999999998,16.408,2818.200999999998,0,0,0,0,0,NO,NO,,NO,-,NO
13,nopol_2,nopol_2,bears,FasterXML-jackson-databind_203042777-203306015,2336.701000000002,16.697,2336.701000000002,0,0,0,0,0,NO,NO,,NO,-,NO
14,dynamoth_1,dynamoth_1,bears,FasterXML-jackson-databind_203042777-203306015,237.46899999999988,16.697,236.3409999999999,0.404,1.1280000000000001,2,12,yes,NO,YES,2_select.txt,NO,-,NO
15,dynamoth_2,dynamoth_2,bears,FasterXML-jackson-databind_203042777-203306015,294.84400000000016,16.697,267.4060000000002,0.513,27.438000000000002,2,3456,yes,NO,YES,2_prioritize.txt,NO,-,NO
