,ori_apr,apr,dataset,bug,repair_time,fl_time,pg_time,compile_time,pv_time,ncp,ntce,has_patch,insufficient_memory,filter_pass_all,filter_pass_file,insufficient_memory_2,vm_error,repeated_timeout_executions
0,simfix_1,simfix_1,defects4j,Time_2,7690.586999999976,19.104,0,7404.811999999976,0.0,6933,0,0,YES,NO,,NO,NO,NO
1,simfix_1,simfix_2,defects4j,Time_2,7214.144999999976,19.104,0,6243.962999999976,684.4070000000004,6464,2145,0,YES,NO,,NO,NO,NO
2,simfix_1,simfix_3,defects4j,Time_2,7690.586999999976,19.104,0,7404.811999999976,0.0,6933,0,0,YES,NO,,NO,NO,NO
3,simfix_1,simfix_1,defects4j,Time_3,5239.585999999996,21.904,0,4905.298999999996,120.753,4840,18932,yes,YES,NO,,NO,NO,NO
4,simfix_1,simfix_2,defects4j,Time_3,5737.523999999996,21.904,0,4905.298999999996,618.6909999999999,4840,11729,yes,YES,NO,,NO,NO,NO
5,simfix_1,simfix_3,defects4j,Time_3,5118.832999999996,21.904,0,4905.298999999996,0.0,4840,0,0,YES,NO,,NO,NO,NO
6,simfix_1,simfix_1,defects4j,Time_4,7166.521000000005,23.616999999999997,0,6875.807000000005,0.351,7576,1,0,NO,NO,,NO,NO,NO
7,simfix_1,simfix_2,defects4j,Time_4,7214.822000000005,23.616999999999997,0,6281.878000000005,642.5809999999996,6914,2180,0,NO,NO,,NO,NO,NO
8,simfix_1,simfix_3,defects4j,Time_4,7166.983000000006,23.616999999999997,0,6876.620000000005,0.0,7577,0,0,NO,NO,,NO,NO,NO
9,simfix_1,simfix_1,defects4j,Time_5,7172.017999999985,16.901,0,6834.676999999984,25.009,6474,1274,0,NO,NO,,NO,NO,NO
10,simfix_1,simfix_2,defects4j,Time_5,7217.972999999982,16.901,0,6160.105999999982,745.5349999999999,5766,5901,0,NO,NO,,NO,NO,NO
11,simfix_1,simfix_3,defects4j,Time_5,7148.550999999985,16.901,0,6836.218999999985,0.0,6475,0,0,NO,NO,,NO,NO,NO
12,simfix_1,simfix_1,defects4j,Time_6,7170.355000000014,18.625999999999998,0,6885.926000000013,0.0,6592,0,0,YES,NO,,YES,NO,NO
13,simfix_1,simfix_2,defects4j,Time_6,6827.6180000000095,18.625999999999998,0,5844.411000000009,738.6019999999993,5610,12994,yes,YES,NO,,YES,NO,NO
14,simfix_1,simfix_3,defects4j,Time_6,7171.250000000015,18.625999999999998,0,6886.821000000014,0.0,6593,0,0,YES,NO,,YES,NO,NO
15,simfix_1,simfix_1,defects4j,Time_7,7171.506999999992,19.719,0,6353.248999999995,540.2599999999998,6673,116536,0,NO,NO,,YES,NO,NO
16,simfix_1,simfix_2,defects4j,Time_7,7504.609999999994,19.719,0,2559.691,4666.920999999998,2525,1784,0,NO,NO,,YES,NO,NO
17,simfix_1,simfix_3,defects4j,Time_7,6632.009999999992,19.719,0,6354.011999999995,0.0,6674,0,0,NO,NO,,YES,NO,NO
18,simfix_2,simfix_1,defects4j,Time_7,8092.911999999993,19.344,0,5326.960999999994,2516.8779999999997,7921,232576,0,NO,NO,,YES,NO,NO
19,simfix_2,simfix_2,defects4j,Time_7,7366.1669999999995,19.344,0,1825.0559999999998,5292.038,2530,1794,0,NO,NO,,YES,NO,NO
20,simfix_2,simfix_3,defects4j,Time_7,8145.664999999996,19.344,0,1222.1859999999988,6674.405999999997,1739,2269170,0,NO,NO,,YES,NO,NO
21,simfix_1,simfix_1,defects4j,Time_8,12554.575999999992,14.535,0,5311.443999999994,6963.353999999999,4854,97962,0,NO,NO,,YES,NO,NO
22,simfix_1,simfix_2,defects4j,Time_8,7179.039000000013,14.535,0,6227.929000000013,671.3320000000016,5910,2016,0,NO,NO,,YES,NO,NO
23,simfix_1,simfix_3,defects4j,Time_8,6507.707000000011,14.535,0,6227.929000000013,0.0,5910,0,0,NO,NO,,YES,NO,NO
24,simfix_1,simfix_1,defects4j,Time_9,8072.306999999995,16.445999999999998,0,5124.236999999993,2665.5520000000006,4853,97962,0,NO,NO,,YES,NO,NO
25,simfix_1,simfix_2,defects4j,Time_9,7167.228999999987,16.445999999999998,0,6191.1559999999845,693.5550000000001,5833,1990,0,NO,NO,,YES,NO,NO
26,simfix_1,simfix_3,defects4j,Time_9,6473.673999999986,16.445999999999998,0,6191.1559999999845,0.0,5833,0,0,NO,NO,,YES,NO,NO
27,simfix_1,simfix_1,defects4j,Time_10,7182.158999999993,23.571,0,6894.859999999995,0.0,8010,0,0,NO,NO,,YES,NO,NO
28,simfix_1,simfix_2,defects4j,Time_10,7644.761999999999,23.571,0,1958.141000000001,5399.322,1815,1054,0,NO,NO,,YES,NO,NO
29,simfix_1,simfix_3,defects4j,Time_10,7183.087999999993,23.571,0,6895.788999999995,0.0,8011,0,0,NO,NO,,YES,NO,NO
30,simfix_1,simfix_1,defects4j,Time_11,7209.660999999998,14.414,0,6565.1979999999985,360.5,7408,81708,0,NO,NO,,NO,NO,NO
31,simfix_1,simfix_2,defects4j,Time_11,7211.825,14.414,0,6367.101000000001,560.7609999999997,7247,2127,0,NO,NO,,NO,NO,NO
32,simfix_1,simfix_3,defects4j,Time_11,6953.558999999998,14.414,0,6669.595999999999,0.0,7492,0,0,NO,NO,,NO,NO,NO
33,simfix_1,simfix_1,defects4j,Time_12,7752.268,21.840999999999998,0,3673.6820000000016,3798.0129999999995,4270,61417,0,NO,NO,,YES,NO,NO
34,simfix_1,simfix_2,defects4j,Time_12,7156.367000000002,21.840999999999998,0,6013.877000000002,861.9170000000005,7440,17784,0,NO,NO,,YES,NO,NO
35,simfix_1,simfix_3,defects4j,Time_12,6294.450000000002,21.840999999999998,0,6013.877000000002,0.0,7440,0,0,NO,NO,,YES,NO,NO
36,simfix_1,simfix_1,defects4j,Time_13,7253.370999999997,12.243,0,3175.201999999998,3812.5359999999996,5013,89542,0,NO,NO,,YES,NO,NO
37,simfix_1,simfix_2,defects4j,Time_13,7163.213000000002,12.243,0,6392.050000000006,505.5299999999964,9967,2604,0,NO,NO,,YES,NO,NO
38,simfix_1,simfix_3,defects4j,Time_13,6657.6830000000045,12.243,0,6392.050000000006,0.0,9967,0,0,NO,NO,,YES,NO,NO
