,apr_folder,repair_time
0,tbar_0,0 days 00:00:02
1,simfix_0,0 days 00:00:02
2,nopol_1,0 days 00:00:05
3,dynamoth_2,0 days 00:00:04
4,dynamoth_1,0 days 00:00:02
5,dynamoth_3,0 days 00:00:04
6,nopol_2,0 days 00:00:04
7,nopol_3,0 days 00:00:04
8,tbar_0,0 days 00:03:32
9,simfix_0,0 days 00:00:06
10,nopol_1,0 days 00:00:09
11,dynamoth_2,0 days 00:00:12
12,dynamoth_1,0 days 00:00:04
13,tbar_2,0 days 00:03:44
14,dynamoth_3,0 days 00:00:13
15,nopol_2,0 days 00:00:13
16,nopol_3,0 days 00:00:14
17,tbar_0,0 days 00:00:51
18,simfix_0,0 days 00:00:01
19,nopol_1,0 days 00:00:07
20,dynamoth_2,0 days 00:00:09
21,dynamoth_1,0 days 00:00:02
22,dynamoth_3,0 days 00:00:05
23,nopol_2,0 days 00:00:04
24,nopol_3,0 days 00:00:09
25,tbar_0,0 days 00:03:09
26,simfix_0,0 days 00:00:01
27,nopol_1,0 days 00:00:12
28,dynamoth_2,0 days 00:00:10
29,dynamoth_1,0 days 00:00:04
30,dynamoth_3,0 days 00:00:08
31,nopol_2,0 days 00:00:12
32,nopol_3,0 days 00:00:15
33,tbar_0,0 days 00:00:58
34,simfix_0,0 days 00:00:01
35,nopol_1,0 days 00:02:41
36,dynamoth_2,0 days 00:00:12
37,dynamoth_1,0 days 00:00:02
38,dynamoth_3,0 days 00:00:12
39,nopol_2,0 days 00:02:46
40,nopol_3,0 days 00:02:48
41,tbar_0,0 days 00:00:02
42,simfix_0,0 days 00:00:13
43,nopol_1,0 days 00:06:47
44,dynamoth_2,0 days 00:00:07
45,dynamoth_1,0 days 00:00:03
46,tbar_2,0 days 00:00:06
47,dynamoth_3,0 days 00:00:06
48,nopol_2,0 days 00:00:22
49,nopol_3,0 days 00:03:28
50,tbar_0,0 days 00:02:52
51,simfix_0,0 days 00:00:08
52,nopol_1,0 days 00:00:09
53,dynamoth_2,0 days 00:00:16
54,dynamoth_1,0 days 00:00:03
55,tbar_2,0 days 00:04:01
56,dynamoth_3,0 days 00:00:09
57,nopol_2,0 days 00:00:08
58,nopol_3,0 days 00:00:15
